Application,Language,Entity Type,Name,Kind,Source,Files,Start Line,End Line,Rationale,Annotation Occurrences
mybb,php,parameter,$forumpermissions['canviewthreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canvotepolls'],permission,,,,,,1
mybb,php,parameter,$fpermissions['canview'],permission,,,,,,1
mybb,php,parameter,$groupleader['canmanagemembers'],permission,,,,,,1
mybb,php,parameter,$groupleader['canmanagerequests'],permission,,,,,,1
mybb,php,parameter,$login_user['uid'],identity,,,,,,1
mybb,php,parameter,$mergethread['fid'],protected_resource,,,,,,1
mybb,php,parameter,$mybb->admin['permissions'][$action['module']][$action['action']],permission,,,,,,1
mybb,php,parameter,$mybb->cookies['adminsid'],authentication_session,,,,,,1
mybb,php,parameter,$mybb->cookies['forumpass'][$fid],resource_authentication,,,,,,1
mybb,php,parameter,$mybb->input['action'],protected_action,,,,,,1
mybb,php,parameter,$mybb->input['pwverify'],resource_authentication,,,,,,1
mybb,php,parameter,$mybb->input['uid'],identity,,,,,,1
mybb,php,parameter,$mybb->user['suspendposting'],account_restriction,,,,,,1
mybb,php,parameter,$mybb->user['suspendsignature'],account_restriction,,,,,,1
mybb,php,parameter,$mybb->user['suspendsigtime'],account_restriction,,,,,,1
mybb,php,parameter,$mybb->user['uid'],identity,,,,,,1
mybb,php,parameter,$mybb->user['usergroup'],role_identity,,,,,,1
mybb,php,parameter,$mybb->usergroup['canchangename'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['cancp'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canmodcp'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canratethreads'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['cansearch'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['cansendemail'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['cansendemailoverride'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['cansendpms'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canundovotes'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canuploadavatars'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canusepms'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canusercp'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canusesig'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canview'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canviewcalendar'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canviewmemberlist'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canviewonline'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canviewprofiles'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['canwarnusers'],permission,,,,,,1
mybb,php,parameter,$mybb->usergroup['issupermod'],role,,,,,,1
mybb,php,parameter,$newperms['canview'],permission,,,,,,1
mybb,php,parameter,$password,resource_authentication,,,,,,1
mybb,php,parameter,$permissions['candeletethreads'],permission,,,,,,1
mybb,php,parameter,$permissions['permissions'][$action['action']],permission,,,,,,1
mybb,php,parameter,$pids,protected_resource_set,,,,,,1
mybb,php,parameter,$plist,protected_resource_set,,,,,,1
mybb,php,parameter,$pm['fromid'],owner_identity,,,,,,1
mybb,php,parameter,$post2['uid'],owner_identity,,,,,,1
mybb,php,parameter,$post['uid'],owner_identity,,,,,,1
mybb,php,parameter,$postlist,protected_resource_set,,,,,,1
mybb,php,parameter,$posts,protected_resource_set,,,,,,1
mybb,php,parameter,$showform,enforcement_state,,,,,,1
mybb,php,parameter,$source_user['uid'],identity,,,,,,1
mybb,php,parameter,$thread['uid'],owner_identity,,,,,,1
mybb,php,parameter,$threadlist,protected_resource_set,,,,,,1
mybb,php,parameter,$threads,protected_resource_set,,,,,,1
mybb,php,parameter,$tid,protected_resource,,,,,,1
mybb,php,parameter,$to_user['ignorelist'],relationship_policy,,,,,,1
mybb,php,parameter,$uid,identity,,,,,,1
mybb,php,parameter,$user['admin'],role,,,,,,1
mybb,php,parameter,$user['uid'],identity,,,,,,1
orangeforum,go,function,adminHandler,authorization_handler,,views/admin.go,17,92,Rejects requests unless the current user is a super administrator.,1
orangeforum,go,function,canAuth,optional_authentication_middleware,,views/auth.go,117,140,"Like mustAuth but optional — injects user into context if authenticated, but allows unauthenticated requests through. Used for public pages that show different content based on auth state.",1
orangeforum,go,function,editComment,authorization_handler,,views/comments.go,18,137,Enforces the topic read-only policy and rejects disallowed comment operations.,1
orangeforum,go,function,getAuthSignUp,authentication_handler,,views/auth.go,265,288,Validates the domain signup policy and signup capability token before showing registration.,1
orangeforum,go,function,mustAuth,authentication_middleware,,views/auth.go,81,115,"HTTP middleware that validates JWT token, extracts user_id claim, verifies user exists and isn't banned/logged-out, then injects *models.User into request context via CtxUserKey. Core authentication gate.",1
orangeforum,go,function,postAuthSignIn,authentication_handler,,views/auth.go,170,197,Enforces the domain policy controlling whether password-based sign-in is permitted.,1
orangeforum,go,function,postAuthSignUp,authentication_handler,,views/auth.go,308,375,Validates the domain signup policy and signup capability token before creating an account.,1
orangeforum,go,function,postCategory,authorization_handler,,views/admin.go,156,192,Rejects category updates outside the current administrator's domain or role.,1
orangeforum,go,function,postCreateMod,authorization_handler,,views/admin.go,94,121,Enforces the super-administrator requirement before creating a moderator.,1
orangeforum,go,function,postDeleteMod,authorization_handler,,views/admin.go,123,154,Enforces super-administrator and same-domain checks before deleting a moderator.,1
orangeforum,go,function,profileHandler,authorization_handler,,views/users.go,20,98,"Enforces authentication, ownership, same-domain, and moderator-role checks for profile changes.",1
orangeforum,go,parameter,domain.IsRegularSigninEnabled,authentication_policy,domain_field,views/auth.go,,,Controls whether password-based sign-in is permitted for the domain; disabled sign-in is rejected with HTTP 403.,1
orangeforum,go,parameter,IsSuperAdmin,role,user_field,views/comments.go | views/topics.go,,,User struct boolean field. Checked in comments.go:89 and topics.go:103 for sticky/readonly override. Also used in admin.go for admin page access.,1
orangeforum,go,parameter,IsSuperMod,role,user_field,views/comments.go | views/topics.go,,,User struct boolean field. Same authorization role as IsSuperAdmin for sticky/readonly privileges.,1
orangeforum,go,parameter,modUser.DomainID,domain_scope,user_field,views/admin.go,,,Compared with the active domain before moderator deletion; a mismatch is rejected with HTTP 403.,1
orangeforum,go,parameter,signupToken,capability_token,url_parameter,views/auth.go,,,Acts as a registration capability token and is checked in terminating HTTP 403 signup guards.,1
orangeforum,go,parameter,topic.IsReadOnly,resource_policy,resource_field,views/comments.go,,,Prevents comment submission to a read-only topic and enforces the decision with HTTP 403.,1
orangeforum,go,parameter,user,authentication_state,request_context,views/users.go,,,Represents the current authenticated principal; a nil value blocks profile modification with HTTP 403.,1
phpns,php,parameter,_SESSION['auth'],identity,session,D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php | D:/phpStudy/PHPTutorial/WWW/phpns/login.php,,,Primary authentication flag set to 'yes' on successful login in login.php (line 91). Checked in auth.php (line 32) as the main gate for all admin pages.,1
phpns,php,parameter,_SESSION['path'],identity,session,D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php | D:/phpStudy/PHPTutorial/WWW/phpns/login.php,,,Path verification token set during login (login.php line 92). Checked in auth.php (line 37) to prevent session fixation/hijacking by comparing against current directory path.,1
phpns,php,parameter,_SESSION['permissions'],role,session,D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php | D:/phpStudy/PHPTutorial/WWW/phpns/login.php | D:/phpStudy/PHPTutorial/WWW/phpns/article.php | D:/phpStudy/PHPTutorial/WWW/phpns/user.php | D:/phpStudy/PHPTutorial/WWW/phpns/manage.php,,,"Comma-separated permission string (12 positions: createranks,manageranks,loginrecords,preferences,loggingin,createarticles,approve,editarticles,deletearticles,createusers,editusers,deleteusers). Assigned to $globalvars['rank'] array in auth.php (line 42). Checked throughout admin pages to authorize specific operations.",1
phpns,php,parameter,_SESSION['userID'],identity,session,D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php | D:/phpStudy/PHPTutorial/WWW/phpns/login.php,,,"Stores the database user ID from the users table, set during login (login.php line 89). Used for logging operations.",1
phpns,php,parameter,_SESSION['username'],identity,session,D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php | D:/phpStudy/PHPTutorial/WWW/phpns/login.php,,,Stores authenticated username set during login (login.php line 88). Used for identity tracking in logging and as author for new content.,1
phpns,php,parameter,$globalvars['rank'][10],permission,session_alias,article.php,,,Controls article creation and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][14],permission,session_alias,article.php,,,Controls article editing and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][16],permission,session_alias,manage.php,,,Controls article deletion and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][18],permission,session_alias,user.php,,,Controls user creation and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][20],permission,session_alias,user.php,,,Controls user editing and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][22],permission,session_alias,user.php,,,Controls user deletion and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][2],permission,session_alias,user.php,,,Controls rank-management operations and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][4],permission,session_alias,user.php,,,Controls access to login records and redirects denied requests to permissiondenied.,1
phpns,php,parameter,$globalvars['rank'][6],permission,session_alias,preferences.php,,,Controls preference management and redirects denied requests to permissiondenied.,1
phpns,php,parameter,rank,role,session,D:/phpStudy/PHPTutorial/WWW/phpns/article.php | D:/phpStudy/PHPTutorial/WWW/phpns/user.php | D:/phpStudy/PHPTutorial/WWW/phpns/manage.php | D:/phpStudy/PHPTutorial/WWW/phpns/inc/auth.php,,,"Aliased from $_SESSION['permissions'] to $globalvars['rank'] array. Each index maps to a specific permission: [0]=create_ranks, [2]=manage_ranks, [4]=login_records, [6]=preferences, [8]=logging_in, [10]=create_articles, [12]=approve, [14]=edit_articles, [16]=delete_articles, [18]=create_users, [20]=edit_users, [22]=delete_users.",1
phpoll,php,parameter,$_COOKIE[$string_cook_login],identity,cookie,config_editor.php,,,Cookie-based admin auth: stores login name. Checked at top of admin pages to verify admin session.,1
phpoll,php,parameter,$_COOKIE[$string_cook_password],identity,cookie,config_editor.php,,,Cookie-based admin auth: stores password. Checked alongside login cookie for admin access.,1
scarf,php,function,is_admin,role_check,,D:/phpStudy/PHPTutorial/WWW/scarf/functions.php,15,18,"Checks if $_SESSION['privilege'] == 'admin'. Core role-based authorization function used throughout the app. Called by require_admin(), header.php for conditional menu display, and comments.php for moderation UI.",1
scarf,php,function,require_admin,authorization_check,,D:/phpStudy/PHPTutorial/WWW/scarf/functions.php,65,69,Authorization gate: terminates with error if is_admin() returns false. Called in comments.php:46 to protect comment moderation (delete/approve). Hard enforcement of admin-only operations.,1
scarf,php,function,require_loggedin,authentication_check,,D:/phpStudy/PHPTutorial/WWW/scarf/functions.php,70,74,Authentication gate: terminates with error if getEmail() returns FALSE (user not logged in). Called in comments.php:77 before comment submission. Ensures only authenticated users can post.,1
scarf,php,parameter,$_SESSION['privilege'],role,session,functions.php | header.php | login.php | generaloptions.php | comments.php | register.php,,,"Stores the user's privilege level ('admin' or 'user') set during login. Checked by is_admin() (functions.php:16) to authorize admin-only actions including comment moderation, user management, and options editing. Core authorization parameter.",1
scarf,php,parameter,$_SESSION['user_id'],identity,session,functions.php | login.php | comments.php,,,"Stores the authenticated user's database ID set during login. Retrieved by getUserID() (functions.php:53) for resource ownership queries (e.g., associating comments with a user). Core identity parameter.",1
wackopicko,php,function,require_login,authorization_check,,include/functions.php,17,24,"Authorization gate: redirects to users login page if not authenticated. Called from protected pages like users/home.php, pictures/view.php.",1
wackopicko,php,parameter,$_SESSION['userid'],identity,session,include/users.php | users/view.php | users/login.php | users/home.php | pictures/view.php,,,"Session variable storing authenticated frontend user ID. Set by Users::login_user(), used by Users::current_user() to determine identity.",1
