"ID","Application","BAC Type","Endpoint / Operation","Operation Type","Expected Authorization Requirement","Unauthorized Test Case","Supporting Evidence"
"GT-011","Phpns","VPE","article.php?action=delete&do=comments&id=6","Delete","Only a user with the article-edit or comment-moderation privilege may delete comments of article 6.","Log in with the register account and submit selected comment identifiers to the delete operation.","runs/phpns/analysis/findings.json records the unauthorized POST receiving HTTP 200 without redirect or denial. Manual verification with marker token (evidence: ground_truth/audit/phpns/evidence/GT-011.json): logged in as the low-privilege register account, POST article.php?action=delete&do=comments&id=6 returned HTTP 200 and deleted the instrumented comment row (id=24, comment=token) of article 6 from phpns_comments. Database restored to its baseline after the record."
"GT-012","Phpns","HPE","article.php?do=edit&id=6","Resource Access","Only the article author or an administrator may open the edit interface for article 6.","Log in as user1 and replace the article id with an article owned by user2.","runs/phpns/analysis/findings.json records HTTP 200 without denial and horizontal override id=6 for article.php?do=edit. Manual verification with marker token (evidence: ground_truth/audit/phpns/evidence/GT-012.json): logged in as user1 (not the author), GET article.php?do=edit&id=6 returned HTTP 200 and the edit form exposed the token inserted into user2's article 6 article_text. Database restored to its baseline after the record."
"GT-013","Phpns","HPE","article.php?do=editp (submit update for id=6)","Update","Only the article author or an administrator may update article 6.","Log in as user1 and submit the article-edit payload with id=6 owned by user2.","The phpns run artifacts contain the paired article edit workflow and repair context for article.php. Manual verification with marker tokens (evidence: ground_truth/audit/phpns/evidence/GT-013.json): logged in as user1, POST article.php?do=editp returned HTTP 200; phpns_articles row id=6 article_text changed from token1 to token2 and article_author was overwritten from user2 to user1, proving the cross-owner update. Database restored to its baseline after the record."
"GT-014","Phpns","HPE","user.php?do=edit&id=6","Resource Access","A user may open only their own account-edit interface unless the current user is an administrator.","Log in as user1 and replace id with user2's account id.","runs/phpns/analysis/findings.json records HTTP 200 without denial and horizontal override id=6 for user.php?do=edit. Manual verification with marker token (evidence: ground_truth/audit/phpns/evidence/GT-014.json): logged in as user1, GET user.php?do=edit&id=11 returned HTTP 200 and the account-edit form exposed the token inserted into user2's full_name field (the endpoint text id=6 refers to the original deployment; in the current database user2's account id is 11). Database restored to its baseline after the record."
"GT-015","Phpns","HPE","user.php?do=editp (submit update for id=6)","Update","A user may modify only their own account unless the current user is an administrator.","Log in as user1 and submit the account-edit payload for user2's id.","The phpns run artifacts contain the paired user edit workflow and repair context for user.php. Manual verification with marker tokens (evidence: ground_truth/audit/phpns/evidence/GT-015.json): logged in as user1, POST user.php?do=editp returned HTTP 200; phpns_users row id=11 (user2) full_name changed from token1 to token2, proving the cross-user update. Database restored to its baseline after the record."
"GT-016","Bwapp","VPE","backdoor.php","Resource Access","The backdoor or privileged diagnostic page must not be accessible to an unauthenticated visitor.","Request backdoor.php as visitor.","runs/bwapp/analysis/findings.json records HTTP 200 without redirect or denial marker. Manual verification (evidence: ground_truth/audit/bwapp/evidence/GT-016.json): as visitor, GET backdoor.php returned HTTP 200 exposing the NSA file uploader form (response archived in the evidence directory); the upload POST itself redirects a sessionless visitor to login.php. Database restored to its baseline after the record."
"GT-017","Bwapp","VPE","install.php","Resource Access / Administrative Action","The installer must be disabled after deployment or restricted to an administrator.","Request install.php as visitor.","runs/bwapp/analysis/findings.json records HTTP 200 without redirect or denial marker. Manual verification (evidence: ground_truth/audit/bwapp/evidence/GT-017.json): as visitor, GET install.php returned HTTP 200 exposing the installer link; on a fresh-install precondition (database dropped for the test), GET install.php?install=yes as visitor completed the installation and recreated the bWAPP database with 2 default user rows. Database restored to its baseline after the record."
"GT-018","Bwapp","VPE","secret-cors-1.php","Resource Access","Only an authorized principal or trusted origin may obtain the protected CORS secret.","Request secret-cors-1.php as visitor without authorization.","runs/bwapp/analysis/findings.json records HTTP 200 without redirect or denial. Manual verification (evidence: ground_truth/audit/bwapp/evidence/GT-018.json): as visitor, GET secret-cors-1.php returned HTTP 200 and the response body contains the protected secret text (Neo's secret: Oh why didn't I took that BLACK pill?); the secret-bearing response is archived in the evidence directory. Database restored to its baseline after the record."
"GT-019","Bwapp","VPE","secret-cors-2.php","Resource Access","Only an authorized principal or trusted origin may obtain the protected CORS secret.","Request secret-cors-2.php as visitor without authorization.","runs/bwapp/analysis/findings.json records HTTP 200 without redirect or denial. Manual verification (evidence: ground_truth/audit/bwapp/evidence/GT-019.json): the trusted-origin check trusts the client-supplied Origin header; as visitor, GET secret-cors-2.php without Origin returned the plain page, while the same request with a spoofed Origin: http://intranet.itsecgames.com header returned HTTP 200 with the protected secret (Wolverine's secret: What's a Magneto?); both responses are archived in the evidence directory. Database restored to its baseline after the record."
"GT-020","Bwapp","VPE","secret-cors-3.php","Resource Access","Only an authorized principal or trusted origin may obtain the protected CORS secret.","Request secret-cors-3.php as visitor without authorization.","runs/bwapp/analysis/findings.json records HTTP 200 without redirect or denial. Manual verification (evidence: ground_truth/audit/bwapp/evidence/GT-020.json): as visitor, GET secret-cors-3.php returned HTTP 200 and the response body contains the protected secret text (Johnny's secret: I'm the Ghost Rider!); the secret-bearing response is archived in the evidence directory. Database restored to its baseline after the record."
"GT-021","DVWA","VPE","about.php","Resource Access","The page must require the authenticated security-lab role assumed by the application workflow.","Request about.php as visitor without a DVWA session.","runs/dvwa/analysis/findings.json records HTTP 200 without redirect or denial marker. Manual verification (evidence: ground_truth/audit/dvwa/evidence/GT-021.json): as visitor without any DVWA session, GET about.php returned HTTP 200 and the response body contains the DVWA About page content (the full About page body is archived in the evidence directory). Note: the deployment originally served PHP 5.2 parse-error pages; verification was performed after switching the deployment to PHP 5.4.45. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-022","DVWA","VPE","instructions.php?doc=p1","Resource Access","The requested instruction document must require the authenticated security-lab role assumed by the application workflow.","Request instructions.php with a valid doc value as visitor without a DVWA session.","runs/dvwa/analysis/findings.json records HTTP 200 without redirect or denial marker. Manual verification (evidence: ground_truth/audit/dvwa/evidence/GT-022.json): as visitor without any DVWA session, GET instructions.php?doc=readme returned HTTP 200 and the response body contains the rendered README instruction document content (archived in the evidence directory). Note: the deployment originally served PHP 5.2 parse-error pages; verification was performed after switching the deployment to PHP 5.4.45. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-023","DVWA","VPE","setup.php","Administrative Action","Only an administrator may initialize or reset the DVWA database.","Request and invoke setup.php as visitor without a DVWA session.","runs/dvwa/analysis/findings.json records HTTP 200 without redirect or denial for setup.php. Manual verification (evidence: ground_truth/audit/dvwa/evidence/GT-023.json): as visitor, GET setup.php returned HTTP 200 with the Create/Reset Database form, and the visitor-triggered reset (POST create_db with the form's anti-CSRF user_token) rebuilt the dvwa database: the instrumented guestbook marker row disappeared (1 -> 0) and the default user accounts were reseeded. Note: the deployment originally served PHP 5.2 parse-error pages; verification was performed after switching the deployment to PHP 5.4.45. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-024","SCARF","VPE","install.php","Resource Access / Administrative Action","The installer must be disabled after deployment or restricted to an administrator.","Request install.php as visitor.","runs/scarf/analysis/findings.json records HTTP 200 without redirect or denial marker. Manual verification (evidence: ground_truth/audit/scarf/evidence/GT-024.json): as visitor, GET install.php returned HTTP 200 with the installer form; the visitor-triggered install (POST with confirmdrop) dropped and recreated the scarf database: the instrumented options marker row disappeared (1 -> 0) and the default Conference Name option was reseeded. config.php and the database were restored to their baselines after the record."
"GT-025","SCARF","VPE","comments.php","Resource Access","Only the administrator may open the comment-moderation page and view pending comments.","Request comments.php as visitor and as ordinary users.","runs/scarf/analysis/findings.json records HTTP 200 without redirect or denial for visitor user1 and user2; the role duplicates are consolidated into one vulnerable operation. Manual verification with marker token (evidence: ground_truth/audit/scarf/evidence/GT-025.json): GET comments.php returned HTTP 200 for visitor, user1, and user2 and each response exposed the token of the instrumented pending comment (approved=0). Database restored to its baseline after the record."
"GT-026","SCARF","VPE","generaloptions.php","Update","Only the administrator may change global conference options.","Submit the general-options form as visitor or an ordinary user.","runs/scarf/analysis/findings.json records HTTP 200 without redirect or denial for visitor user1 and user2. Manual verification with marker tokens (evidence: ground_truth/audit/scarf/evidence/GT-026.json): as visitor, POST generaloptions.php returned HTTP 200 and changed the global option Conference Name from token1 to token2 in the scarf options table. Database restored to its baseline after the record."
"GT-027","EventsLister","VPE","admin/setup.php","Administrative Action","Only an administrator may execute database or administrator-account setup.","Request and submit admin/setup.php as visitor.","runs/events_lister/analysis/findings.json records HTTP 200 without redirect or denial for the setup entry point. Manual verification with marker token (evidence: ground_truth/audit/events_lister/evidence/GT-027.json): as visitor, POST admin/setup.php returned HTTP 200; on a fresh-install precondition (admin row cleared for the test) the visitor recreated the administrator account (id=1, uname=token@example.test) with attacker-chosen credentials and the setup inserted a Test Event row (21 -> 22 events). Database restored to its baseline after the record."
"GT-028","EventsLister","VPE","admin/user_add.php","Create","Only an authenticated administrator may create another administrator account.","Submit a new account through admin/user_add.php as visitor.","runs/events_lister/analysis/findings.json records an unauthenticated POST receiving HTTP 200 without redirect or denial. Manual verification with marker token (evidence: ground_truth/audit/events_lister/evidence/GT-028.json): as visitor, POST admin/user_add.php returned HTTP 200 and created a new administrator account row (id=4, uname=token@example.test) in the admin table without any login. Database restored to its baseline after the record."
"GT-029","Mybb","VPE","usercp2.php?action=addsubscription&fid=p1&type=forum","Create","A logged-in user must supply the protected forum password before subscribing to a password-protected forum.","Log in as an ordinary user who has not supplied the forum password and request the addsubscription action for that forum id.","runs/mybb/analysis/findings.json and replay_response_review.md identify the known target and record HTTP 200 without denial; the unauthorized user was able to invoke the subscription workflow. Manual verification (evidence: ground_truth/audit/mybb/evidence/GT-029.json): forum 2 (My Forum) is password-protected (forumdisplay.php shows user1 the password gate); user1 GET usercp2.php?action=addsubscription&fid=2&type=forum returned HTTP 200 and created the mybb_forumsubscriptions row (fid=2, uid=2) without ever supplying the forum password. Database restored to its baseline after the record."
"GT-030","Wackopicko","HPE","users/view.php?userid=11","Resource Access","An ordinary user may view only their own protected profile unless explicitly authorized to view another account.","Log in as user1 and change userid to user2's identifier 11.","runs/wackopicko/analysis/findings.json records HTTP 200 without redirect or denial and horizontal override userid=11. Manual verification with marker token (evidence: ground_truth/audit/wackopicko/evidence/GT-030.json): logged in as user1 (scanner1), GET users/view.php?userid=11 returned HTTP 200 and the response exposed the token placed in user id=11's login field, confirming the cross-user profile view; unauthenticated requests are redirected to users/login.php. Note: in the current deployment user id 11 is the seeded user 'bryce' (the endpoint text refers to the original deployment). Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-031","Wackopicko","VPE","users/sample.php?userid=p1 (login-gate bypass of the profile view)","Resource Access","The user profile view (users/view.php) requires an authenticated login; the sample.php wrapper must not bypass this requirement - unauthenticated visitors must not be able to view a user's profile page.","Request users/sample.php?userid=11 as visitor without a session.","Manual verification with marker token (evidence: ground_truth/audit/wackopicko/evidence/GT-031.json): as visitor, GET users/sample.php?userid=11 returned HTTP 200 and served the profile page of user id=11 with the token placed in that user's login field exposed; the regular entry users/view.php?userid=11 requires login and redirects the visitor (303). The instrumented login field was reverted afterwards. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-032","Jspblog","VPE","admin/addnews.jsp","Resource Access","Only an authenticated administrator may open the add-news form.","Request admin/addnews.jsp as visitor.","Manual verification (evidence: ground_truth/audit/jspblog/evidence/GT-032.json): as visitor, GET admin/addnews.jsp returned HTTP 200 and serves the add-news form (author select, headline/body fields) without any session; the response body is archived in the evidence directory. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-033","Jspblog","VPE","admin/addnews2.jsp","Create","Only an authenticated administrator may create a news item.","Submit headline and body parameters to admin/addnews2.jsp as visitor.","Manual verification with marker token (evidence: ground_truth/audit/jspblog/evidence/GT-033.json): as visitor, POST admin/addnews2.jsp with a token headline returned HTTP 200 and created a news row with the token headline in the portal database. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-034","Jspblog","VPE","admin/adduser.jsp","Resource Access","Only an authenticated administrator may open the user-creation form.","Request admin/adduser.jsp as visitor.","Manual verification (evidence: ground_truth/audit/jspblog/evidence/GT-034.json): as visitor, GET admin/adduser.jsp returned HTTP 200 and serves the user-creation form (author/name fields) without any session; the response body is archived in the evidence directory. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-035","Jspblog","VPE","admin/adduser2.jsp","Create","Only an authenticated administrator may create an application user.","Submit a new user payload to admin/adduser2.jsp as visitor.","Manual verification with marker token (evidence: ground_truth/audit/jspblog/evidence/GT-035.json): as visitor, POST admin/adduser2.jsp with a token name returned HTTP 200 and created a user row with the token name in the portal database. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-036","Jspblog","VPE","admin/admin.jsp","Resource Access","Only an authenticated administrator may access the administration dashboard.","Request admin/admin.jsp as visitor.","Manual verification (evidence: ground_truth/audit/jspblog/evidence/GT-036.json): as visitor, GET admin/admin.jsp returned HTTP 200 and serves the administration control-panel menu (links to every admin operation) without any session; the response body is archived in the evidence directory. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-037","Jspblog","VPE","admin/editnews.jsp","Resource Access","Only an authenticated administrator may access the news-management and edit-selection page.","Request admin/editnews.jsp as visitor.","Manual verification with marker token (evidence: ground_truth/audit/jspblog/evidence/GT-037.json): as visitor, GET admin/editnews.jsp returned HTTP 200; the news-management page listed the news rows and exposed the token injected into a news body. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-038","Jspblog","VPE","admin/editnews2.jsp","Resource Access / Update","Only an authenticated administrator may open or submit the news-edit operation.","Request or submit admin/editnews2.jsp with headline and body parameters as visitor.","Manual verification with marker tokens (evidence: ground_truth/audit/jspblog/evidence/GT-038.json): as visitor, POST admin/editnews2.jsp with a token body returned HTTP 200 and changed the news body from token1 to token2 in the portal database (the UPDATE carries no WHERE clause, so it applies to every row). Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-039","JsForum","VPE","servlet/forum.AddForum","Create","Only an authenticated administrator may create a forum.","Submit AddForum as visitor or an ordinary user.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-039.json): as visitor, POST servlet/forum.AddForum with a token title returned 302 (success redirect to forum/index.jsp) and created a forum row with the token title in forum_forums. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-040","JsForum","VPE","servlet/forum.AddReply","Create","Only an authenticated user may create a reply.","Submit AddReply as visitor without a session.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-040.json): as visitor, POST servlet/forum.AddReply with a token message returned 302 (success redirect) and created a reply row with the token message in forum_message. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-041","JsForum","VPE","servlet/forum.AddThread","Create","Only an authenticated user may create a thread.","Submit AddThread as visitor without a session.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-041.json): as visitor, POST servlet/forum.AddThread with a token title returned 302 (success redirect) and created a thread row with the token title in forum_threads together with its initial message. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-042","JsForum","HPE","servlet/forum.AddReply with user=user2","Create","The author of a new reply must be derived from the authenticated session and must not be selected by a request parameter.","Log in as user1 and submit AddReply with the user parameter changed to user2.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-042.json): logged in as user1, POST servlet/forum.AddReply with the user parameter set to user2 returned 302 (success redirect) and the created reply row carries user2 as its author although the session belongs to user1. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-043","JsForum","HPE","servlet/forum.AddThread with user=user2","Create","The author of a new thread and its initial message must be derived from the authenticated session.","Log in as user1 and submit AddThread with the user parameter changed to user2.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-043.json): logged in as user1, POST servlet/forum.AddThread with the user parameter set to user2 returned 302 (success redirect) and the initial message of the created thread carries user2 as its author although the session belongs to user1. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-044","JsForum","HPE","forum/editmessage.jsp (reply of another user)","Resource Access","The edit interface of a message must be available only to the message author or an administrator; a user must not open the edit form of another user's message.","Log in as user1 and open forum/editmessage.jsp for a reply authored by user2.","Manual verification with marker token (evidence: ground_truth/audit/jsforum/evidence/GT-044.json): logged in as user1, GET forum/editmessage.jsp for user2's reply returned HTTP 200 and the edit form rendered user2's message content (token exposed); the submitted ChangeMessage left the row unchanged (the write is owner-gated for non-admin users), bounding the impact to the unauthorized edit-interface access. A documented precondition inserted the user2-authored reply for the test. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-045","jwablogger","VPE","blogger/viewEntry/5444/drhl_test_entry.html","Resource Access","An entry with isVisible=false must be available only to an authorized administrator or owner according to the application policy.","Request the non-visible entry as visitor.","Manual verification with marker token (evidence: ground_truth/audit/jwablogger/evidence/GT-045.json): as visitor, GET blogger/viewEntry/<id> returned HTTP 200 and served the full content of the fresh entry with is_visible='false' (token exposed), and a naturally non-visible entry (1927) is likewise served without any precondition; entry creation requires login ('Must be logged in'). Note: the released endpoint text names entry 5444 from the original deployment; in the current deployment that id is a cached seeded row, so a fresh non-visible entry was used. Database restored to its baseline after the record. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-046","DjangoBlog","VPE","eee/ (unpublished PostDetail)","Resource Access","A post with status=0 must be visible only to a staff user; visitors must receive a not-found or denial response.","Request an unpublished post (status=0) as visitor (the validation used a freshly inserted unpublished post with marker tokens in its title and content).","Manual verification with marker tokens (evidence: ground_truth/audit/djangoblog/evidence/GT-046.json): a fresh unpublished post (status=0) whose title and content carry marker tokens was inserted into the database; as visitor, GET /<slug>/ returned HTTP 200 and served the unpublished post content (token exposed). The inserted post was deleted afterwards and the deletion was verified. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-047","django_lms","VPE","add_item/","Create","Only an administrator or the role explicitly authorized to manage events/items may access and submit add_item.","Log in as user1 or user2 obtain a fresh CSRF token and submit the add-item form.","Manual verification with marker token (evidence: ground_truth/audit/django_lms/evidence/GT-047.json): logged in as user1 (ordinary student), GET add_item/ returned HTTP 200 with the add-item form and its CSRF token; the POST returned 302 and created the item row with the token title in app_newsandevents. The view carries only @login_required with no role check (visitors are redirected to the login page). Database restored to its baseline after the record (PostgreSQL dump comparison verified). Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-048","BBS_Pro","VPE","bbs_pub/","Resource Access","The bulletin-publication page is an authenticated-user feature: logged-in users may open it, but unauthenticated visitors must be redirected to the login page.","Request bbs_pub/ as visitor without a session.","Manual verification with marker token (evidence: ground_truth/audit/BBS_pro/evidence/GT-048.json): as visitor, GET /bbs_pub/ returned HTTP 200 and served the bulletin-publication form (the token placed in a category name was exposed); the anonymous submission attempt (POST /bbs_sub/) crashed with HTTP 500 and created no post (posts 16 -> 16), bounding the impact to the page-level exposure; a logged-in ordinary user opens the page by design (200). Documented preconditions: user1's password was reset via the application's own User.set_password mechanism and the category name was instrumented; both were reverted afterwards. Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-049","orangeforum","HPE","categories/1/topics/9/comments/34/edit (Update)","Update","Only the comment owner or an authorized moderator/administrator may update comment 34.","Log in as user1 and submit an Update action for comment 34 owned by another ordinary user.","Manual verification with marker tokens (evidence: ground_truth/audit/orangeforum/evidence/GT-049.json): logged in as user1 (not the comment owner), GET categories/1/topics/9/comments/34/edit returned HTTP 200 with the edit form of user2's comment (content token exposed); the Update POST returned 303 and changed comment 34's content from token1 to token2 in the database. The validation ran against a fresh build compiled from the original source on a separate port. Database restored to its baseline after the record (verified with per-row probes). Instrumentation and verification SQL statements are recorded in the evidence file."
"GT-050","orangeforum","HPE","categories/1/topics/9/comments/34/edit (Delete)","Delete","Only the comment owner or an authorized moderator/administrator may delete comment 34.","Log in as user1 and submit a Delete action for comment 34 owned by another ordinary user.","Manual verification with marker token (evidence: ground_truth/audit/orangeforum/evidence/GT-050.json): logged in as user1 (not the comment owner), GET categories/1/topics/9/comments/34/edit returned HTTP 200 with the edit form of user2's comment (token exposed); the Delete POST returned 303 and removed comment 34, with the topic comment counter decremented 5 -> 4. The validation ran against a fresh build compiled from the original source on a separate port. Database restored to its baseline after the record (verified with per-row probes). Instrumentation and verification SQL statements are recorded in the evidence file."
